eil51, Distance: 3089.2898183496254, Memory: 0.609375, Time: 3.1086106300354004
berlin52, Distance: 50641.11085988772, Memory: 0.16015625, Time: 3.289090156555176
st70, Distance: 9430.49720851795, Memory: 0.125, Time: 3.107654094696045
eil76, Distance: 5851.254098003227, Memory: 0.0, Time: 3.227942705154419
pr76, Distance: 1596792.6090074535, Memory: 0.12890625, Time: 3.0906412601470947
rat99, Distance: 28070.01321630705, Memory: 0.0, Time: 3.1963298320770264
kroA100, Distance: 330014.61875132605, Memory: 0.0, Time: 3.615727186203003
kroB100, Distance: 346512.30840181455, Memory: 0.0234375, Time: 3.604888439178467
kroC100, Distance: 376218.70045792375, Memory: 0.02734375, Time: 4.018306732177734
kroD100, Distance: 392156.2831282225, Memory: 0.0, Time: 4.12941312789917
kroE100, Distance: 416121.0851780362, Memory: 0.0078125, Time: 3.4504199028015137
rd100, Distance: 140404.46854802547, Memory: 0.0, Time: 3.899888753890991
eil101, Distance: 7171.913343838016, Memory: 0.0, Time: 4.248955011367798
lin105, Distance: 398459.43683970766, Memory: 0.4375, Time: 3.5191233158111572
pr107, Distance: 1545430.174020477, Memory: 0.2578125, Time: 3.8162150382995605
pr124, Distance: 1666979.3889745807, Memory: 0.234375, Time: 3.2841336727142334
bier127, Distance: 1023976.0366758049, Memory: 0.0, Time: 4.207934141159058
ch130, Distance: 90969.6650402701, Memory: 0.57421875, Time: 3.99433970451355
pr136, Distance: 2116728.8598434576, Memory: 0.08203125, Time: 3.197054147720337
pr144, Distance: 2048558.6587652273, Memory: 0.0, Time: 3.310152769088745
ch150, Distance: 143632.23692009557, Memory: 0.1015625, Time: 3.81002140045166
kroA150, Distance: 508550.1689597887, Memory: 0.0, Time: 5.3829803466796875
kroB150, Distance: 583730.3695535044, Memory: 0.50390625, Time: 5.085717439651489
pr152, Distance: 2929924.3220589645, Memory: 0.0, Time: 3.4119396209716797
u159, Distance: 1349308.9168052506, Memory: 0.50390625, Time: 4.5450708866119385
rat195, Distance: 74776.03616705375, Memory: 0.0703125, Time: 4.679617166519165
d198, Distance: 1163994.8999455227, Memory: 0.6640625, Time: 5.856061935424805
kroA200, Distance: 768095.5650351646, Memory: 0.79296875, Time: 6.634639024734497
kroB200, Distance: 749128.3610069058, Memory: 0.79296875, Time: 6.79647970199585
ts225, Distance: 4613349.930946687, Memory: 0.765625, Time: 3.7360358238220215
tsp225, Distance: 151608.94871460675, Memory: 0.75, Time: 5.846766471862793
pr226, Distance: 5122968.891966001, Memory: 0.7734375, Time: 6.007340669631958
gil262, Distance: 96983.8136602525, Memory: 0.0078125, Time: 10.30701231956482
pr264, Distance: 2633397.328111698, Memory: 0.0, Time: 5.319601774215698
a280, Distance: 115247.85225845408, Memory: 0.2421875, Time: 9.765761852264404
pr299, Distance: 2823472.579823108, Memory: -2.6796875, Time: 10.825340747833252
lin318, Distance: 1937470.062109428, Memory: 0.1171875, Time: 12.928173303604126
linhp318, Distance: 1937470.062109428, Memory: 0.76953125, Time: 14.222424030303955
rd400, Distance: 384144.2526168955, Memory: 0.6015625, Time: 27.877148389816284
fl417, Distance: 1067653.3047586775, Memory: 0.65625, Time: 18.015358686447144
pr439, Distance: 5499973.474162238, Memory: 0.73828125, Time: 16.908848524093628
pcb442, Distance: 2427974.355717578, Memory: 0.34765625, Time: 32.81162738800049
d493, Distance: 3971320.5869451067, Memory: 0.79296875, Time: 38.72074604034424
u574, Distance: 2427901.514243252, Memory: 0.25390625, Time: 64.54612302780151
