Dataset	Nós	Limiar
eil51	51	426
berlin52	52	7542
st70	70	675
eil76	76	538
pr76	76	108159
rat99	99	1211
kroA100	100	21282
kroB100	100	22141
kroC100	100	20749
kroD100	100	21294
kroE100	100	22068
rd100	100	7910
eil101	101	629
lin105	105	14379
pr107	107	44303
pr124	124	59030
bier127	127	118282
ch130	130	6110
pr136	136	96772
pr144	144	58537
ch150	150	6528
kroA150	150	26524
kroB150	150	26130
pr152	152	73682
u159	159	42080
rat195	195	2323
d198	198	15780
kroA200	200	29368
kroB200	200	29437
ts225	225	126643
tsp225	225	3919
pr226	226	80369
gil262	262	2378
pr264	264	49135
a280	280	2579
pr299	299	48191
lin318	318	42029
linhp318	318	41345
rd400	400	15281
fl417	417	11861
pr439	439	107217
pcb442	442	50778
d493	493	35002
u574	574	36905
rat575	575	6773
p654	654	34643
d657	657	48912
u724	724	41910
rat783	783	8806
pr1002	1002	259045
u1060	1060	224094
vm1084	1084	239297
pcb1173	1173	56892
d1291	1291	50801
rl1304	1304	252948
rl1323	1323	270199
nrw1379	1379	56638
fl1400	1400	20127
u1432	1432	152970
fl1577	1577	[22204,22249]
d1655	1655	62128
vm1748	1748	336556
u1817	1817	57201
rl1889	1889	316536
d2103	2103	[79952,80450]
u2152	2152	64253
u2319	2319	234256
pr2392	2392	378032
pcb3038	3038	137694
fl3795	3795	[28723,28772]
fnl4461	4461	182566
rl5915	5915	[565040,565530]
rl5934	5934	[554070,556045]
rl11849	11849	[920847,923368]
usa13509	13509	[19947008,19982889]
brd14051	14051	[468942,469445]
d15112	15112	[1564590,1573152]
d18512	18512	[644650,645488]
